numeroControlePNCP,cnpj_orgao,razao_social,municipio_nome,uf,dataPublicacaoPncp,ano_compra,objetoCompra,modalidade_id,modalidade_nome,situacao_id,situacao_nome,valorTotalEstimado,ramo_mei,data_coleta
00091652000189-1-000097/2026,00091652000189,COMPANHIA DE PESQUISA DE RECURSOS MINERAIS,Recife,PE,2026-05-18T08:56:58,2026,"Contratação de serviços de participação em ensaio de proficiência para atender as necessidades da Companhia de Pesquisa de Recursos Minerais - CPRM, conforme as especificações constantes no Projeto Básico",8,Dispensa,1,Divulgada no PNCP,1228.7,Serviços,2026-05-19 16:00:48.567420
00091652000189-1-000098/2026,00091652000189,COMPANHIA DE PESQUISA DE RECURSOS MINERAIS,Recife,PE,2026-05-18T10:30:06,2026,"TRANSPORTE RODOVIARIO - CARGAS / ENCOMENDAS - 1) Da SUREG-RE para a Litoteca de Mossoró (190 caixas com amostras): Endereço de retirada: R. Escritor Souza Barros, 1111 - Cabanga, Recife ? PE. CEP: 50090-460. Endereço de entrega: Br-304 Km 52 | Mossoró ? RN. CEP: 59600-970 Quantidade de caixas de polietileno: 190 unidades; Dimensões de cada caixa: (altura X largura X comprimento): 24 cm X 35 cm X 50 cm; Peso médio estimado/caixa: 20 kg; Peso Total: P = 3,8 T",8,Dispensa,1,Divulgada no PNCP,7038.52,Outros,2026-05-19 16:00:48.567420
00091652000189-1-000099/2026,00091652000189,COMPANHIA DE PESQUISA DE RECURSOS MINERAIS,Recife,PE,2026-05-18T10:49:24,2026,"Contratação de serviços de empresa especializada para a elaboração de projetos de instalação de linhas de distribuição de energia elétrica e demais serviços técnicos correlatos, destinados ao atendimento das necessidades do Laboratório de Geologia Marinha do Serviço Geológico do Brasil – SGB, contemplando o desenvolvimento de solução elétrica independente, em conformidade com as normas técnicas vigentes, padrões de segurança e exigências das concessionárias de energia elétrica competentes.",8,Dispensa,1,Divulgada no PNCP,18500.0,Serviços,2026-05-19 16:00:48.567420
00348003000110-1-000231/2026,00348003000110,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA,Petrolina,PE,2026-05-18T16:00:19,2026,Pneu Radial 295/80 R 22.5 Obs.: Selo de certificação do INMETRO; Primeira linha; - Garantia de 5 anos do fabricante; - Índice mínimo de carga 152 e velocidade L (ou superior).,8,Dispensa,1,Divulgada no PNCP,16000.0,Outros,2026-05-19 16:00:48.567420
00394429000100-1-001027/2026,00394429000100,COMANDO DA AERONAUTICA,Recife,PE,2026-05-18T09:22:10,2026,Aquisição de materiais oftalmológicos destinados à realização de cirurgias de catarata,8,Dispensa,1,Divulgada no PNCP,64873.0,Compras,2026-05-19 16:00:48.567420
00394452000103-1-009684/2026,00394452000103,COMANDO DO EXERCITO,Recife,PE,2026-05-18T14:05:37,2026,"Aquisição de material permanente (equipamento médico-hospitalar) aprovados no Plano Anual das Atividades do Sistema de Saúde do Exército - PAASSEx 2026, em proveito do Hospital Militar de Área de Recife, incluindo instalação, montagem e treinamentos necessários para operar.",8,Dispensa,1,Divulgada no PNCP,23125.78,TI,2026-05-19 16:00:48.567420
00394452000103-1-009718/2026,00394452000103,COMANDO DO EXERCITO,Recife,PE,2026-05-18T16:25:26,2026,"Contratação de serviços de manutenção e conservação de máquinas e equipamentos, conforme condições, quantidades e exigências estabelecidas no Aviso de Contratação Direta e seus anexos.",8,Dispensa,1,Divulgada no PNCP,60361.19,Serviços,2026-05-19 16:00:48.567420
00394502000144-1-004578/2026,00394502000144,COMANDO DA MARINHA,Recife,PE,2026-05-18T11:18:09,2026,Aquisição de material elétrico para manutenção e revitalização dos sistemas elétricos da Capitania dos Portos de Pernambuco (CPPE).,8,Dispensa,1,Divulgada no PNCP,46179.96,TI,2026-05-19 16:00:48.567420
00509968000148-1-001447/2026,00509968000148,TRIBUNAL SUPERIOR DO TRABALHO,Recife,PE,2026-05-18T11:49:38,2026,REGISTRO DE PREÇOS PARA A FUTURA E EVENTUAL AQUISIÇÃO LIXEIRA EM AÇO INOXIDÁVEL PARA ESTE TRT6.,8,Dispensa,1,Divulgada no PNCP,61798.6,Compras,2026-05-19 16:00:48.567420
01263896000164-1-000295/2026,01263896000164,"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACOES",Recife,PE,2026-05-18T15:44:15,2026,"Aquisição de madeiras tipo maçaranduba aparelhada destinadas à implantação de pergolado na área externa das estufas da Biofábrica do CETENE, incluindo todas as despesas necessárias ao fornecimento e entrega dos materiais.",8,Dispensa,1,Divulgada no PNCP,17318.7,Compras,2026-05-19 16:00:48.567420
02899512000167-1-000017/2026,02899512000167,DEFENSORIA PUBLICA DO ESTADO DE PERNAMBUCO,Recife,PE,2026-05-18T11:40:59,2026,"Contratação de empresa especializada para execução dos serviços de correção e
adequação do sistema de prevenção e combate a incêndio da unidade da Defensoria Pública
do Estado de Pernambuco – Núcleo de Santa Cruz do Capibaribe.",8,Dispensa,1,Divulgada no PNCP,34708.8,TI,2026-05-19 16:00:48.567420
03204421000122-1-000091/2026,03204421000122,INST. NAC. COLON. REFORMA AGRARIA - INCRA,Recife,PE,2026-05-18T11:13:38,2026,"Serviço de poda de árvores, com limpeza geral, retirada dos resíduos e descarte do material em local apropriado, com fornecimento de
material, equipamentos, ferramentas necessárias e mão de obra.",8,Dispensa,1,Divulgada no PNCP,27349.33,Obras,2026-05-19 16:00:48.567420
08114092000142-1-000003/2026,08114092000142,SAO JOSE DA COROA GRANDE CAMARA MUNICIPAL,São José da Coroa Grande,PE,2026-05-18T16:36:29,2026,"Contratação de empresa para locação de SISTEMAS DE GESTÃO – CONTABILIDADE PÚBLICA, PESSOAL, PATRIMÔNIO e ALMOXARIFADO, incluindo treinamento e suporte, para atender as necessidades da Câmara Municipal de Vereadores de São José da Coroa Grande",8,Dispensa,1,Divulgada no PNCP,0.0,TI,2026-05-19 16:00:48.567420
08637373000180-1-000138/2026,08637373000180,MUNICIPIO DE ABREU E LIMA,Abreu e Lima,PE,2026-05-18T11:14:37,2026,"contratação de Empresa para inscrição dos Servidores para participação do 26° Encontro Regional do Colegiado Nacional de Gestores Municipais de Assistência Social – CONGEMAS, no Centro de Convenções Pedro Neiva de Santana – São Luiz/Maranhão – (Av. Jeronimo de Albuquerque, s/n – Alto do Calhau), e terá como tema geral: “ SUAS sob olhar municipalista: perspectivas, desafios, avanços e seu papel na consolidação da proteção Social brasileira”",8,Dispensa,1,Divulgada no PNCP,828.0,Outros,2026-05-19 16:00:48.567420
08653537000162-1-000005/2026,08653537000162,LAGOA DOS GATOS CAMARA MUNICIPAL,Lagoa dos Gatos,PE,2026-05-18T09:22:25,2026,"constitui objeto desta, a seleção de melhor proposta para a contratação de Serviços Especializados em Assessoria Institucional e Técnicos para a Câmara Municipal de Lagoa dos Gatos/PE, no que tange à divulgação Eletrônica de Atos Oficiais, Gerenciamento das Comunicações Oficiais, Produção de Conteúdo para Imprensa, Gravação e Transmissão das Sessões Ordinárias, Extraordinárias, Audiências Públicas, Sessões Solenes e Criação de Artes Gráficas para uso em Redes Socias (Instagram e Facebook.",8,Dispensa,1,Divulgada no PNCP,24000.0,Serviços,2026-05-19 16:00:48.567420
08653537000162-1-000006/2026,08653537000162,LAGOA DOS GATOS CAMARA MUNICIPAL,Lagoa dos Gatos,PE,2026-05-18T11:40:42,2026,"Aquisição de materiais de expediente e escritório, se faz para suprir as necessidades de trabalho desta casa Legislativa, com entrega imediata de acordo com a demanda de trabalho da
Câmara de Vereadores de Lagoa dos Gatos (PE).",8,Dispensa,1,Divulgada no PNCP,2415.35,Compras,2026-05-19 16:00:48.567420
10183929000157-1-000051/2026,10183929000157,MUNICIPIO DE AGUA PRETA,Água Preta,PE,2026-05-18T11:24:57,2026,"CONTRATAÇÃO DE EMPRESA PARA EXECUÇÃO DE SERVIÇOS DE REPARO E
MANUTENÇÃO DE REDE PLUVIAL, INCLUINDO MURETAS E CONTENÇÕES NA RUA NOVA E ANEXOS, DISTRITO DA USINA SANTA TEREZINHA, ZONA RURAL, MUNICÍPIO DE ÁGUA PRETA/PE.",8,Dispensa,1,Divulgada no PNCP,94380.05,Serviços,2026-05-19 16:00:48.567420
10191799000102-1-000030/2026,10191799000102,MUNICIPIO DE CUPIRA,Cupira,PE,2026-05-18T10:25:09,2026,"Aquisição de pneus novos, devidamente certificados pelos órgãos competentes, destinados à manutenção preventiva e corretiva da frota de veículos pertencentes à Secretaria Municipal de Educação.",8,Dispensa,1,Divulgada no PNCP,25176.0,Serviços,2026-05-19 16:00:48.567420
10280055000156-1-000075/2026,10280055000156,MUNICIPIO DE SAO JOSE DO BELMONTE,São José do Belmonte,PE,2026-05-18T10:55:19,2026,Locação de equipamentos de fisioterapia adequados no Núcleo de Apoio à Saúde da Família (NASF),8,Dispensa,1,Divulgada no PNCP,63360.0,Compras,2026-05-19 16:00:48.567420
10293074000117-1-000055/2026,10293074000117,MUNICIPIO DO BOM JARDIM,Bom Jardim,PE,2026-05-18T11:55:58,2026,"CONTRATAÇÃO DE EMPRESA PARA A AQUISIÇÃO DE MATERIAIS ESPORTIVOS, DESTINADOS À SECRETARIA DE ESPORTES E JUVENTUDE DO MUNICÍPIO DE BOM JARDIM/PE",8,Dispensa,1,Divulgada no PNCP,47819.32,Compras,2026-05-19 16:00:48.567420
10404184000109-1-000378/2026,10404184000109,MUNICIPIO DE OLINDA,Olinda,PE,2026-05-18T14:32:09,2026,Contratacao de empresa especializada para o fornecimento de papel sulfite branco tamanho A4  210 mm x 297 mm   gramatura minima de 75 g m   resma com 500 folhas,8,Dispensa,1,Divulgada no PNCP,9300.0,Compras,2026-05-19 16:00:48.567420
10565000000192-1-000449/2026,10565000000192,MUNICIPIO DO RECIFE,Recife,PE,2026-05-18T09:00:32,2026,"AQUISIÇÃO CAFETEIRA ELÉTRICA CILINDRICA EM AÇO INOX COM TEMOSTATO COM BASE EM INOX COM DUAS TORNEIRAS MONOFÁSICA 220V ACOMPANHADA TAMPA, SACO COADOR E ARO COADOR",8,Dispensa,1,Divulgada no PNCP,2579.64,Compras,2026-05-19 16:00:48.567420
10565000000192-1-000451/2026,10565000000192,MUNICIPIO DO RECIFE,Recife,PE,2026-05-18T12:12:01,2026,AQUISIÇÃO DE NOTEBOOKS,8,Dispensa,1,Divulgada no PNCP,57323.0,Compras,2026-05-19 16:00:48.567420
10572048000128-1-000552/2026,10572048000128,SECRETARIA DE SAUDE,Caruaru,PE,2026-05-18T08:48:19,2026,XI GERES - SERVIÇOS DE HOTELARIA (HOSPEDAGEM E ALIMENTAÇÃO) PARA ATENDER AS NECESSIDADES DO CURSO CAMINHOS PARA A EQUIDADE NO DIA 02.06.2026 NO ÂMBITO DA XI GERES - SEDE III MACROREGIÃO DE SAÚDE.,8,Dispensa,1,Divulgada no PNCP,25288.69,Serviços,2026-05-19 16:00:48.567420
10572048000128-1-000553/2026,10572048000128,SECRETARIA DE SAUDE,Caruaru,PE,2026-05-18T09:43:20,2026,"V GERES GARANHUNS - AQUISIÇÃO DE FAIXA EM LONA DE METALON GALVANIZADO MEDINDO 2,20MX0,70M PARA ATENDER AS NECESSIDADES DA V GERES.",8,Dispensa,1,Divulgada no PNCP,2160.0,Compras,2026-05-19 16:00:48.567420
10572048000128-1-000554/2026,10572048000128,SECRETARIA DE SAUDE,Afogados da Ingazeira,PE,2026-05-18T11:28:25,2026,AQUISIÇÃO DE AGUA E COPOS POR UM PERIODO DE 2 MESES PARA VII GERES/VIG EM SAÚDE,8,Dispensa,1,Divulgada no PNCP,3132.33,Compras,2026-05-19 16:00:48.567420
10572048000128-1-000555/2026,10572048000128,SECRETARIA DE SAUDE,Caruaru,PE,2026-05-18T13:43:24,2026,"VI GERES – CONTRATAÇÃO DE SERVIÇO DE INSTALAÇÃO E REFORMA DE MOBILIÁRIOS, COMO ARMÁRIO, MESA, GAVETEIRO E PORTA.",8,Dispensa,1,Divulgada no PNCP,5777.86,Obras,2026-05-19 16:00:48.567420
10572048000128-1-000556/2026,10572048000128,SECRETARIA DE SAUDE,Caruaru,PE,2026-05-18T13:48:25,2026,"VI GERES – AQUISIÇÃO DE BOLSAS, EM TECIDO, IMPRESSÃO FRENTE, COM ZÍPER, PARA ATENDER AO I FÓRUM REGIONAL DE REGULAÇÃO DA VI GERES.",8,Dispensa,1,Divulgada no PNCP,1400.0,Compras,2026-05-19 16:00:48.567420
10572048000128-1-000557/2026,10572048000128,SECRETARIA DE SAUDE,Recife,PE,2026-05-18T14:18:30,2026,"Fornecimento de KITS REAGENTES UTILIZADOS NO DIAGNÓSTICO SOROLÓGICO DA DOENÇA DE CHAGAS, por meio de Dispensa Eletrônica de licitação com fundamento no art. 75, inc. II da Lei nº 14.133/21, visando at",8,Dispensa,1,Divulgada no PNCP,6595.81,Compras,2026-05-19 16:00:48.567420
10572048000209-1-000294/2026,10572048000209,SECRETARIA DE SAUDE,Recife,PE,2026-05-18T08:03:18,2026,"AQUISIÇÃO EMERGENCIAL PARA DEPÓSITO PLÁSTICO (56X28X20 - CXLXH) 50L COM TAMPA, DEPÓSITO PLÁSTICO (31X40X8 - CXLXH) 10L COM TAMPA, DEPÓSITO PLÁSTICO (35X18X9 - CXLXH) 5L COM TAMPA.",8,Dispensa,1,Divulgada no PNCP,23253.08,Compras,2026-05-19 16:00:48.567420
10572048000470-1-000029/2026,10572048000470,SECRETARIA DE SAUDE,Recife,PE,2026-05-18T15:05:51,2026,Contratação de prestação de serviços de manutenção corretiva em 04 (quatro) videobroncoscópios da marca Olympus.,8,Dispensa,1,Divulgada no PNCP,151339.88,Serviços,2026-05-19 16:00:48.567420
10572048000470-1-000030/2026,10572048000470,SECRETARIA DE SAUDE,Recife,PE,2026-05-18T15:13:27,2026,Contratação para o fornecimento eventual de (CURATIVO PARA FIXAÇÃO DE CATETER PERIFÉRICO).,8,Dispensa,1,Divulgada no PNCP,129150.0,Compras,2026-05-19 16:00:48.567420
10572048000470-1-000031/2026,10572048000470,SECRETARIA DE SAUDE,Recife,PE,2026-05-18T15:23:30,2026,Fornecimento eventual de material de expediente hospitalar (ETIQUETAS COM CODIGO DE BARRA E RIBBON).,8,Dispensa,1,Divulgada no PNCP,4884.2,Compras,2026-05-19 16:00:48.567420
10572048000632-1-000012/2026,10572048000632,SECRETARIA DE SAUDE,Recife,PE,2026-05-18T07:48:19,2026,"SEI 2300002426.000342/2026-70 AQUISIÇÃO DE MATERIAIS MEDICO HOSPITALAR DIVERSOS E ACESSÒRIOS PARA EQUIPAMENTOS MEDICOS OBS: LER DOCUMENTOS EM ANEXO, ( ENTREGA IMEDIATA )",8,Dispensa,1,Divulgada no PNCP,57872.28,Compras,2026-05-19 16:00:48.567420
11022597000515-1-000018/2026,11022597000515,FUNDACAO UNIVERSIDADE DE PERNAMBUCO,Recife,PE,2026-05-18T09:04:00,2026,PRESTAÇÃO DE SERVIÇO DE CÓPIA DE CHAVES,8,Dispensa,1,Divulgada no PNCP,1800.0,Serviços,2026-05-19 16:00:48.567420
11022597000868-1-000009/2026,11022597000868,FUNDACAO UNIVERSIDADE DE PERNAMBUCO,Nazaré da Mata,PE,2026-05-18T10:18:19,2026,Aquisição de fita para rotulador.,8,Dispensa,1,Divulgada no PNCP,1201.33,Compras,2026-05-19 16:00:48.567420
11022597001597-1-000158/2026,11022597001597,FUNDACAO UNIVERSIDADE DE PERNAMBUCO,Recife,PE,2026-05-18T08:28:58,2026,FORNECIMENTO INTEGRAL BOMBA HIDRÁULICA PARA O POÇO,8,Dispensa,1,Divulgada no PNCP,8366.0,Compras,2026-05-19 16:00:48.567420
11022597001597-1-000159/2026,11022597001597,FUNDACAO UNIVERSIDADE DE PERNAMBUCO,Recife,PE,2026-05-18T10:08:21,2026,FORNECIMENTO DE MATERIAL DE CONSUMO HOSPITALAR (MATERIAL PENSO) - SISTEMA DE ASPIRACAO TRAQUEAL FECHADO,8,Dispensa,1,Divulgada no PNCP,578.47,TI,2026-05-19 16:00:48.567420
